author,content,cover,works
,"我多想回到那个夏天
蝉鸣在田边吹过眼睫
贪恋夏夜星空你侧脸
犹记得清风撩拨心弦
初夏的味道是你的微笑
我捧着月亮别来无恙
去更远的地方  见更亮的光",https://static.juzicon.com/contribute/image-cb1df2fc-f175-48eb-a16c-1d376f589036-200830000118-JDVB.jpeg,《回到夏天》
,仲夏夜，那个少年你还仰望星空吗？仲夏夜，曾经那个仰望星空的少年你还好吗？,,
,我们都身处谷底，却依然有人仰望星空🌃,,
,后来那种感觉就像你明明拥有一片星空 却没有星光,https://static.juzicon.com/contribute/image-ab61809c-74cc-4e9b-baa4-baae074b852b-200120151658-VEPA.jpg,
,你驼背了一生，因为你从不想仰望星空。,,
,星空之所以美丽，就是因为在无线的宇宙中，不管黑暗如何蔓延，都有星星的光芒去把他照亮。世界也是这样，有绝望的地方，就会有希望产生。,https://static.juzicon.com/contribute/image-514ca69a-c1ec-4e7d-a2c7-253ff88cf64e-200414093957-JKDF.jpg,《网易热评》
,云飞雾散山已空，仲夏夜微凉。月光下，繁星点点，星空浩瀚。凭杆倚栏望四方，万家灯火明。旧景  旧人  旧时光  ，终究梦一场。,,
刘慈欣,"我们都是阴沟里的虫子,但总还是得有人仰望星空.",https://static.juzicon.com/contribute/image-ff70ac5b-a5b1-423b-bb89-32a0882bdd5c-201126141037-DUAZ.jpg,《三体》
,如果你爱上了某个星球的一朵花。那么，只要在夜晚仰望星空，就会觉得满天的繁星就像一朵朵盛开的花。     ,https://static.juzicon.com/contribute/image-4edb2f05-7af4-457f-9d5b-3f816093cbd0-200817183806-5ALG.jpg,《小王子》
Nina George,白昼让色彩焕发，入夜后有浩渺星空点亮村庄，傍晚则有老式灯笼发出的柔和的玫瑰色光晕。,,《小小巴黎书店》
百第么涟在,"你是我用笔无法描绘的风轻轻的吹拂着窗外的梧桐等到 看得见风的时空我用墨绿色为你画风你是我用笔无法勾勒的风静静地捧起夜晚露水的浓重有 上弦月照耀的星空我用淡紫色为你画风",,《画风》
吕亦涵,"他在伦敦的星空的写下：你是我唯一星辰。她在小镇星空写下：而你却是我整片星空",,《伦敦的星光不散场》
,"黑暗一直都在 却被隐藏得很好 
就像星空一样 无法觉察它本身就是梦的幕布.",,
烟罗,"当一个人爱上了某个星星上的一朵花。她会发现，整个夜晚都像花园般为她绽放。人只要爱着,就不会感到疼痛的，所以你看,你从未带给我伤害，是你让我感受到浩翰星空。",https://static.juzicon.com/contribute/image-247bf056-d55b-4bf3-9016-14d016332bb0-200731233140-Q0HC.jpeg,《星星上的花》
黄俊郎,"我只是卑微的小丑翻几个跟斗起是边地民说等你拍一拍手人群散了出她要可好能夜色多朦胧中去光也能着跟不起是边地民我我不是孤独的小丑你是地民种了去过出她要可出她要可好能不需着们将的物并得我灯熄的时候民会们将将以的星空最明亮的是寂寞",,《乔克叔叔歌词》
,星空之所以如此美丽，是因为它们璀璨于夜空之中。就像我们，就像人们一样，在对的人眼里，无论你做什么，他都会觉得很美丽的。对吧,,
五好当对是要子,"摸不到的颜色 是否叫彩虹看不到的拥抱 是否叫做微风一个人想着一个人 是否就叫寂寞命运偷走如果 只留下结果时间偷走初衷 只留下了苦衷你来过 然后你走后 只留下星空",https://static.juzicon.com/imgs/burst/view-of-a-mountain-and-white-rooftops-from-above.jpg,《星空(歌曲)》
,仰望星空，我想知道，是否有人和我一样。,,
,"天地宇宙和我是同时诞生的,宇宙、星空、山河、大地、房子、树木、桌子等,一切都是和我一体的,天地与我并生,而万物与我为一",https://static.juzicon.com/contribute/image-59e0b6e9-6cf4-4b42-9561-f6674773ef23-210620145304-TKHG.jpg,
顾城,"大看开那布主并灯火闪闪发亮，星空如同倒影遥遥相望，汽车和人停止了吵闹，蟋蟀开是么了草中的歌唱。",,《夜晚》
沈煜伦,有幸这一生能遇见你，你这么好看和努力，所以请慷慨让我迷恋一辈子吧，假如有一天你如天边星辰一样的坠落，那星空将不再美丽。没关系宝贝儿，因为你一离开，我就会马上化作天边的星际碎片，我将在万籁俱寂里继续迷恋着你。,,《爱是一种微妙的滋养》
路遥,一个安静的夜晚，我独自一人，有些空虚，有些凄凉。坐在星空下，抬头仰望美丽天空，感觉真实却又虚幻，闪闪烁烁，似乎看来还有些跳动。美的一切总在瞬间，如同“海市蜃楼”般，也只是刹那间的一闪而过，当天空变得明亮，而这星星也早已一同退去……,,《平凡的世界》
,星空之所以美丽，就是因为在无限的宇宙中，不管黑暗如何蔓延，都有星星的光芒去把它照亮,,
辰东,这里有整片星空下的最强者！,,《遮天》
霍金,"记住要仰望星空，
     不要低头看脚下。
    无论生活如何艰难，
    请保持一颗好奇心。",https://static.juzicon.com/contribute/image-b6e92c52-ee09-4cfb-84f6-71508a12e501-200208182126-UFL4.jpeg,
,我们都生活在阴沟里，但总有人仰望星空。,https://static.juzicon.com/contribute/image-130abf82-93e3-4e97-8951-aa7bcabacb90-210416112252-LBQ9.jpg,
,"也曾伤感
也曾仰望星空
也曾黯然神伤的望着彼岸独自喃喃
回想离别景
只有伤感",,
,"就像四月的阳光，七月的微风，温暖了青春，带走了忧愁。
好似六月的星空，九月的落叶，写满了孤独，读懂了寂寞。",https://static.juzicon.com/contribute/image-d03bca8e-e448-46fc-86a1-4a47fd1742c0-191115191504-C51K.jpg,
,"当有一天，有星光刺破黑洞的昏暗，那是我吞吐天地的余晖，代表着我已映照诸天。当有一天，有玄雷划过星空的浩瀚，那是我拳光的劲风，代表着我已回来。当星河列阵，宇宙星海星光齐绽，那是我在笑，我已复苏，我在归来，我已无敌！",,《圣墟》
,与其困在自己的思绪里伤悲秋，不如打开窗拥抱上天赠与我们的浩瀚星空。,,《德卡先生的信箱》
,“他暂时将月亮抱了下来，拥抱过后又将她归还于星空”,https://static.juzicon.com/contribute/image-8231853e-0e37-4d80-8318-971b6332c20d-210707231728-PQSG.jpeg,
,长大偷走幼稚园，理性偷走少年，庸俗偷走爱情，生活偷走星空，时间什么都不做，时间偷走这一切。,https://static.juzicon.com/contribute/image-96edcf07-d576-4423-8083-4e9c76a8f71d-191217200414-59QQ.jpeg,
,只要你曾爱过星空，那些掠过你头顶的星空就永不黯淡。,https://static.juzicon.com/contribute/image-79dd8cbd-4aff-4019-9632-6e452e36896f-200628231412-V3PO.jpeg,
,若黑夜也有光芒，便能化作星空。若泪滴也有光芒，便能化作流星。,,
,"夜空昏暗发黄，在这个灯光污染严重的都市，星空都已快要不见，哪里又能看得到什么流星
                           —《掌中之物》",,
玖月晞,他目色隽永，缓缓地实话实说：“这世上，我只喜欢两样东西，星空和甄意。一样因为你，一样就是你。,https://static.juzicon.com/imgs/cy/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210516132713.jpg,《亲爱的弗洛伊德》
,一星陨落，黯淡不了星空灿烂；一花凋落，荒芜不了整个春天。,https://static.juzicon.com/adm-images/a8e03f3544f484bb87aa249caf1619f4.jpeg,
兰波,闪烁的太阳已越过高傲的山峦，幽谷中的光点有如泡沫浮泛。以我之力追我所愿，挣脱世间繁杂的束缚，去往内心无垢的星空,https://static.juzicon.com/contribute/image-6b33135c-44bc-4f2b-93e0-1c1bc828cfe0-191130154623-MOAG.jpg,
,"我会住在其中的一颗星星上面,在某一颗星星上微笑着，每当夜晚你仰望星空的时候，就会像是看到所有的星星都在微笑一般。",https://static.juzicon.com/contribute/image-174b3f67-dba7-412c-9902-56376fcd93cc-200909221242-WRCF.jpg,《小王子》
巴尔扎克,一星坠落，黯淡不了星空灿烂；一花凋谢，荒芜不了整个春天。,https://static.juzicon.com/contribute/image-a524dc58-a574-4ce7-9fe4-9159a709b8dd-200912192323-7NXM.jpg,
